date,Trust_Score,Stringency_Raw,Death_Raw,Newcase_Raw
2020-04-21,0.3072525076977852,79.63,18.132856,68.10193
2020-04-22,-0.04850710587063143,79.63,17.984089,68.60062
2020-04-23,0.03692137894514846,79.63,17.627886,69.56655
2020-04-24,-2.497457003922988,79.63,17.2633,70.50316
2020-04-30,0.200538646473676,79.63,13.870985,67.752014
2020-05-01,0.3573188772351877,79.63,13.275916,67.576004
2020-05-02,0.26473067178722814,79.63,12.73742,67.14646
2020-05-03,-0.21397669357687174,79.63,12.278546,66.73788
2020-05-04,-0.04850710587063145,79.63,11.832244,65.692314
2020-05-06,0.24060503487166068,79.63,10.945926,61.88932
2020-05-07,0.3177758825896098,79.63,10.614866,59.72486
2020-05-08,-0.04850710587063143,79.63,10.216756,56.37026
2020-05-09,-0.4566654222126909,79.63,9.900364,53.91036
2020-05-10,1.175967843155547,79.63,9.44568,50.344135
2020-05-14,0.26748642936193073,71.3,7.8029532,46.541138
2020-05-15,0.2615530743548815,71.3,7.4404635,45.48929
2020-05-16,0.05353247321488345,71.3,7.096832,43.06501
2020-05-17,-0.10973085332194037,71.3,6.7888207,41.94611
2020-05-18,1.175967843155547,71.3,6.537383,41.761723
2020-05-22,0.3162843893600842,71.3,5.894121,36.546486
2020-05-23,0.47626787228344497,71.3,5.6363974,36.41448
2020-05-24,0.6861778635450756,71.3,5.3828645,35.423397
2020-05-25,1.175967843155547,71.3,5.0999966,34.270973
2020-05-27,0.22501197365209932,71.3,4.630646,31.295626
2020-05-28,0.18315031691810502,71.3,4.4797835,29.214977
2020-05-29,0.4412828737398399,69.44,4.328921,27.341766
2020-05-30,0.22359843835740822,69.44,4.215774,25.64456
2020-05-31,-0.39835709130668234,69.44,4.1193895,24.542425
2020-06-02,0.15739012943332506,67.59,3.8029969,23.090372
2020-06-03,-0.04850710587063143,67.59,3.6353714,22.700644
2020-06-04,-0.04850710587063142,67.59,3.4970808,21.489552
2020-06-05,0.022271792917008933,67.59,3.3336463,20.534088
2020-06-06,0.359651210471428,67.59,3.1136382,19.469667
2020-06-07,1.175967843155547,67.59,2.9669662,18.614779
2020-06-09,0.11982426184471902,73.15,2.7574346,17.177393
2020-06-10,-0.04850710587063144,73.15,2.6778126,16.464985
2020-06-11,0.5637303686424577,73.15,2.4766624,15.779818
2020-06-17,0.16388875780580076,71.3,1.8920695,15.052743
2020-06-18,0.16444505917739957,71.3,1.8564491,14.922833
2020-07-03,0.132896590281395,71.3,1.1188983,9.41425
2020-07-04,0.09554877048538955,69.91,1.0204184,9.162812
2020-07-05,-0.2671633467681633,69.91,0.95546365,8.957472
2020-07-06,-0.19256298222665238,64.35,0.911462,8.4252615
2020-07-07,-0.048507105870631444,64.35,0.87374634,8.653651
2020-07-08,0.2010861091586855,64.35,0.8423166,8.632698
2020-07-09,-0.16188441596564795,64.35,0.76269466,8.603363
2020-07-10,-0.04850710587063145,64.35,0.74802744,8.731177
2020-07-11,-0.26828466082404806,64.35,0.74802744,8.974235
2020-07-12,-0.46832708839389253,64.35,0.7396462,8.974235
2020-07-22,0.1381841419629563,64.35,0.46935058,9.552541
2020-07-23,-0.08593647112470675,64.35,0.4463021,9.726452
2020-07-24,0.18472621775340253,64.35,0.4316349,9.808169
2020-07-25,-0.09073037997498243,64.35,0.4630646,10.00932
2020-07-26,-0.320612650098671,64.35,0.4316349,10.41162
2020-07-27,-0.6607445803837206,64.35,0.41487238,10.464004
2020-07-29,0.07752227674853102,64.35,0.4043958,10.786682
2020-07-30,-0.1359696022296442,64.35,0.39391923,10.929163
2020-07-31,-0.5587050012982057,64.35,0.38134733,11.444611
2020-08-01,-0.11653349192764136,69.91,0.34153634,11.733764
2020-08-02,-0.6607445803837206,69.91,0.36668012,11.57452
2020-08-05,0.07153945775938605,69.91,0.33944103,12.037585
2020-08-06,0.039687907208306034,69.91,0.34153634,12.477601
2020-08-07,0.028828154067864032,69.91,0.31010664,12.538365
2020-08-08,-0.1505466849561463,69.91,0.31848788,12.87152
2020-08-09,-0.3156652765672522,69.91,0.30382067,13.447732
2020-08-10,-0.1359696022296442,69.91,0.3080113,13.764124
2020-08-12,0.019152561124076532,69.91,0.31639257,14.815972
2020-08-13,-0.02714998466668647,66.2,0.30172536,15.46971
2020-08-14,-0.17095460077324928,66.2,0.32477382,15.786103
2020-08-15,-0.3400487604006739,66.2,0.32896447,15.892964
2020-08-16,-0.32679686701294464,66.2,0.31639257,16.337172
2020-08-19,-0.07332754402656748,66.2,0.30172536,15.872011
2020-08-20,-0.2193640755021912,66.2,0.2912488,15.323039
2020-08-21,-0.45666542221269085,66.2,0.2682003,15.406852
2020-08-22,-0.1925629822266524,66.2,0.25353312,16.12345
2020-08-23,-0.3310782479535957,66.2,0.2367706,16.192595
2020-08-24,-0.048507105870631444,66.2,0.21372214,16.460794
2020-08-25,0.8698491058990023,66.2,0.21791276,16.940622
2020-08-27,0.03029573738352856,66.2,0.20743619,17.26749
2020-08-28,-0.12814775296176498,66.2,0.21372214,17.489595
2020-08-29,-0.2368878672592742,66.2,0.20534088,17.68446
2020-08-30,-0.49377072369833264,66.2,0.2095315,18.55192
2020-08-31,-0.35462584312717604,66.2,0.20115024,19.3649
2020-09-02,0.023298523856212356,64.35,0.20743619,20.523611
2020-09-03,-0.5732820840247078,64.35,0.18438773,22.656641
2020-09-04,-1.2729820548968098,64.35,0.1822924,26.19563
2020-09-05,0.359651210471428,64.35,0.17600647,29.466415
2020-09-06,-0.048507105870631444,64.35,0.1822924,32.525574
2020-09-09,-0.05252617025474361,64.35,0.21162681,43.071297
2020-09-10,-0.14092030957072038,64.35,0.22210339,45.338425
2020-09-11,-0.7482070767427332,64.35,0.22000808,45.941875
2020-09-12,0.06280879858629386,64.35,0.23467529,46.939247
2020-09-15,-0.21595667154942505,65.74,0.2765816,47.02306
2020-09-16,-0.14628731958597055,65.74,0.27029565,45.969116
2020-09-17,-0.15054668495614631,65.74,0.2912488,46.34837
2020-09-18,-0.35462584312717604,65.74,0.32686913,48.514923
2020-09-19,-0.6607445803837206,65.74,0.37296608,50.708717
2020-09-20,1.175967843155547,65.74,0.39601454,54.163895
2020-09-23,-0.009552441532576984,65.74,0.4609693,70.09667
2020-09-24,-0.4086467967606839,67.59,0.4882084,76.15213
2020-09-25,-0.04850710587063145,67.59,0.5447819,81.80319
2020-09-26,-0.04850710587063145,67.59,0.5364006,88.103806
2020-10-02,-0.0050860083874336185,67.59,0.7145024,129.6979
2020-10-03,-0.07861714560078335,67.59,0.7920291,141.58882
2020-10-04,-0.48067473493869434,67.59,0.8632698,155.2838
2020-10-05,-1.2729820548968096,67.59,0.911462,165.46074
2020-10-06,-0.09344196638535357,67.59,0.9261292,175.79065
2020-10-14,-0.16067275005623555,60.19,1.5547237,240.253
2020-10-15,-0.01969593059942724,60.19,1.6280597,244.16287
2020-10-16,-0.2934020956758671,60.19,1.6532036,246.98526
2020-10-17,-0.17095460077324925,60.19,1.7684458,247.36452
2020-10-18,-0.3659635741366777,60.19,1.9067366,251.60124
2020-10-19,-0.8277184370691085,65.74,2.0722666,256.28217
2020-10-28,-0.021195396970419278,75.0,3.4886994,326.09805
2020-10-29,-0.26820181968007767,75.0,3.645848,323.45377
2020-10-30,-0.45666542221269085,75.0,3.7485185,319.65497
2020-10-31,0.04568327482368996,75.0,3.9119532,319.94623
2020-11-01,-0.5732820840247078,75.0,4.178058,322.4522
2020-11-02,-0.048507105870631444,75.0,4.431591,322.953
2020-11-03,-0.048507105870631444,75.0,4.649504,323.11014
2020-11-11,-0.093269751412862,64.81,5.994696,352.45712
2020-11-12,-0.30719899650996485,64.81,6.063842,356.32507
2020-11-13,-0.3824548192414074,64.81,6.2084184,364.1406
2020-11-14,-0.8648237385547501,64.81,6.2985168,365.73932
2020-11-15,-0.6607445803837205,64.81,6.3676624,367.2668
2020-11-16,0.16140288539099912,64.81,6.4556656,366.12906
2020-12-16,-0.07568410843841344,73.15,7.08426,350.61115
2020-12-17,-0.245549051690936,73.15,7.155501,378.50607
2020-12-18,-0.04850710587063145,73.15,7.230932,406.83057
2020-12-19,-0.3310782479535957,76.85,7.3796997,430.97067
2020-12-20,-0.4858195876656951,76.85,7.5787544,456.17523
2020-12-21,-0.6967585494727258,76.85,7.7044735,468.7492
2020-12-22,-0.3983570913066824,76.85,7.8511453,491.3786
2020-12-30,-0.1286891502574733,79.63,9.759977,570.47046
2020-12-31,0.1782475143194016,79.63,9.935984,647.1904
2021-01-01,-1.2729820548968098,79.63,10.21047,708.426
2021-01-02,-0.04850710587063145,79.63,10.642105,753.5905
2021-01-03,-0.3824548192414073,79.63,10.960593,791.4382
2021-01-04,-0.43811277146987,79.63,11.256032,834.4844
2021-01-05,-0.048507105870631444,87.96,11.442515,850.85925
2021-01-13,-0.04171704145828664,87.96,15.920203,759.5831
2021-01-14,-0.2169751357702063,87.96,16.643087,726.07697
2021-01-15,-0.5276494772287011,87.96,17.257015,700.35693
2021-01-16,-0.5166887040276995,87.96,17.860466,680.001
2021-01-17,-0.20156647449890372,87.96,18.4262,666.06085
2021-01-18,-0.5494286759267953,87.96,19.105082,647.6535
2021-01-19,-0.048507105870631444,87.96,19.499002,631.7668
2021-01-27,-0.12666508134038748,87.96,19.566051,439.97006
2021-01-28,0.12923925769768477,87.96,18.906027,413.1605
2021-01-29,-0.20822122965665468,87.96,18.59173,392.87155
2021-01-30,-0.4566654222126909,87.96,18.334007,376.67688
2021-01-31,-0.39835709130668245,87.96,17.96104,360.13226
2021-02-01,-0.6607445803837206,87.96,17.412067,349.28482
2021-02-02,-0.015413188329383374,87.96,16.898716,345.57404
2021-02-10,0.21176776252140647,87.96,12.46922,241.29019
2021-02-11,-0.08452107495963669,87.96,11.964249,228.63449
2021-02-12,-0.4252686286479171,87.96,11.40899,216.03117
2021-02-13,-0.12053504404864193,87.96,11.092598,204.81285
2021-02-14,0.053532473214883435,87.96,10.602294,196.98895
2021-02-15,-0.5382970854811028,87.96,10.181136,190.10583
2021-02-24,0.18607651594280483,86.11,6.9208255,158.13342
2021-02-25,0.25761163138591314,86.11,6.524811,151.4787
2021-02-26,1.175967843155547,86.11,6.2356577,144.9937
2021-02-27,-0.4566654222126909,86.11,5.887835,137.09647
2021-02-28,-0.048507105870631444,86.11,5.540013,128.82835
2021-03-01,-0.6607445803837205,86.11,5.2382874,121.77971
2021-03-10,0.2590094338391394,82.41,3.1848788,84.69682
2021-03-11,0.0258768863599308,82.41,3.0612552,83.79584
2021-03-12,0.081756186578962,82.41,2.9418223,83.959274
2021-03-13,-0.1250367901847676,80.56,2.814008,83.95089
2021-03-14,0.12641788684739402,80.56,2.6317158,84.474724
2021-03-15,-0.5382970854811028,78.7,2.4766624,83.95718
2021-03-16,0.23960464684141053,78.7,2.3530388,83.98861
2021-03-24,0.19396318106524546,78.7,1.6343458,81.19136
2021-03-25,0.1282543697105754,78.7,1.5945348,80.39724
2021-03-26,-0.15654901313764716,78.7,1.4751018,80.91268
2021-03-27,0.059139043494307326,70.37,1.4311001,80.87916
2021-03-28,-0.0031561818326248277,70.37,1.370336,79.594734
2021-03-29,0.3162301129882302,70.37,1.2949047,78.51355
2021-04-07,0.36656914803654767,70.37,0.80041033,45.740726
2021-04-09,0.21176776252140644,70.37,0.72078836,43.27035
2021-04-10,0.19267735378604006,70.37,0.71659774,42.16612
2021-04-11,0.09387370215566837,70.37,0.69145393,42.597755
2021-04-12,0.6511928650014704,61.11,0.6935493,42.329556
2021-04-21,0.18840497680110024,61.11,0.52801937,35.08186
2021-04-22,-0.0014119155234707352,61.11,0.5028756,35.178246
2021-05-05,0.27444644409699137,59.72,0.27448627,28.852488
2021-05-06,0.22978265527168185,59.72,0.25353312,29.638231
2021-05-07,0.15557205230039828,59.72,0.25562844,29.784903
2021-05-08,-0.6607445803837206,59.72,0.25562844,29.986053
2021-05-09,0.44128287373983993,59.72,0.25981906,30.315018
2021-05-10,-0.04850710587063144,59.72,0.2682003,30.683794
2021-05-11,-0.4566654222126909,59.72,0.2514378,32.33071
2021-05-12,0.1963878839346042,59.72,0.23257996,33.849815
2021-05-19,0.14559484901203684,62.5,0.22419871,31.834122
2021-05-20,0.18036671637725238,62.5,0.20324555,32.846157
2021-05-21,-0.2234320985886569,62.5,0.18019709,33.847717
2021-05-22,-0.32061265009867107,62.5,0.16343457,34.54965
2021-05-23,-0.048507105870631444,62.5,0.17181583,35.44854
2021-05-24,1.175967843155547,62.5,0.14876737,36.227997
2021-05-25,0.3724061578571174,62.5,0.15295799,37.072407
2021-05-26,0.25761163138591314,62.5,0.15924394,38.143116
2021-05-27,-0.048507105870631444,62.5,0.15924394,39.431732
2021-05-29,-2.497457003922988,62.5,0.1822924,44.332676
2021-05-30,-0.048507105870631444,62.5,0.17391114,46.89315
2021-05-31,-0.7482070767427332,62.5,0.19067366,48.988464
2021-06-02,0.21655570662444718,62.5,0.16552989,51.850666
2021-06-03,-0.06998912252021353,62.5,0.16343457,56.049675
2021-06-04,-0.20156647449890375,62.5,0.15924394,60.755753
2021-06-05,-0.6607445803837206,51.39,0.17600647,66.01709
2021-06-06,-0.04850710587063145,51.39,0.17600647,70.77765
2021-06-07,-0.5382970854811028,51.39,0.16552989,74.40464
2021-06-08,-0.4566654222126909,51.39,0.17391114,79.37054
2021-06-09,-0.5382970854811028,51.39,0.16343457,87.85446
2021-06-10,0.22798723745786045,51.39,0.17391114,93.01942
2021-06-16,0.1883585400065637,51.39,0.20534088,116.392654
2021-06-17,0.13935754384297402,51.39,0.21791276,122.47745
2021-06-18,-0.04850710587063144,51.39,0.21581745,128.43233
2021-06-19,-0.09882799418677574,51.39,0.20115024,134.85028
2021-06-20,-0.21360485180674535,51.39,0.2095315,140.50974
2021-06-21,0.03895539048838129,51.39,0.22629403,145.0419
2021-06-22,-0.04850710587063143,51.39,0.24724717,151.22726
2021-06-23,0.7678095268134876,51.39,0.24724717,163.686
2021-06-30,0.11918584580478835,51.39,0.28705814,284.6632
2021-07-01,-0.26145927091866245,51.39,0.29963005,307.28632
2021-07-02,-0.003156181832624835,51.39,0.3352504,329.438
2021-07-03,-0.2525862640416612,51.39,0.3331551,350.55878
2021-07-04,0.015938944078114792,51.39,0.35201293,367.6775
2021-07-05,-0.14034272704759482,51.39,0.38134733,383.8303
2021-07-06,-0.014014853785386977,51.39,0.39391923,397.80185
2021-07-14,0.023728106949617942,51.39,0.60135543,513.0882
2021-07-15,-0.026108173876250126,51.39,0.63278514,537.4923
2021-07-16,-0.271138914784482,51.39,0.65792894,571.67316
2021-07-17,-0.9231320694607588,51.39,0.6830727,630.3001
2021-07-18,-0.45666542221269085,51.39,0.6872633,677.36084
2021-07-19,-0.6607445803837206,43.98,0.71659774,698.5173
2021-07-20,-0.048507105870631444,43.98,0.79412436,710.41656
2021-07-21,-0.1006124228504688,43.98,0.88841355,717.5679
2021-07-22,-0.9056395701889561,43.98,0.9261292,701.1595
2021-07-23,-0.5382970854811028,43.98,0.9533683,660.58997
2021-07-24,-1.2729820548968098,43.98,1.0204184,596.2177
2021-07-26,-1.2729820548968098,43.98,1.0979451,505.9704
2021-07-28,0.009445143625264028,43.98,1.0832778,439.0502
2021-07-29,0.1140338165664719,43.98,1.1000404,417.48105
2021-07-30,-0.048507105870631444,43.98,1.1503279,406.3528
2021-07-31,-1.2729820548968098,43.98,1.1545186,400.38956
2021-08-01,-0.6607445803837206,43.98,1.2006155,393.96112
2021-08-02,-1.2729820548968098,43.98,1.2488078,389.17963
2021-08-03,0.359651210471428,43.98,1.2990953,386.66104
2021-08-04,-0.4252686286479171,43.98,1.3263344,386.3656
2021-08-05,0.017089766398628116,43.98,1.3347157,388.23254
2021-08-11,0.11525246178028603,43.98,1.3493829,419.26205
2021-08-12,-0.06390930648731293,43.98,1.3598595,421.45166
2021-08-13,-0.02843374605053016,43.98,1.3514782,423.5721
2021-08-14,-0.4770733380297938,43.98,1.3619548,423.71042
2021-08-15,-0.04850710587063142,43.98,1.3619548,425.67792
2021-08-16,0.41067100001418544,43.98,1.3556688,430.9518
2021-08-17,0.1963878839346042,43.98,1.3724314,436.0644
2021-08-18,-0.4893180875200557,43.98,1.3829079,446.00665
2021-08-19,-0.17095460077324925,43.98,1.4185283,459.42087
2021-08-23,-0.008669735953683847,43.98,1.5735816,494.8317
2021-08-24,-0.10061242285046881,43.98,1.6511083,501.9893
2021-08-25,-0.18647611421160928,43.98,1.716063,507.87292
2021-08-26,-0.15654901313764719,43.98,1.749588,507.37424
2021-08-27,0.25761163138591314,43.98,1.7391114,507.45386
2021-08-28,-0.048507105870631444,43.98,1.7600646,509.78384
2021-08-29,-0.048507105870631444,43.98,1.7852083,512.9562
2021-08-30,-0.354625843127176,43.98,1.822924,510.99704
2021-08-31,-0.07090603786501275,43.98,1.8459725,505.53455
2021-09-07,-0.09760162033630368,43.98,2.0031211,561.7372
2021-09-08,-0.04850710587063142,43.98,2.1057916,583.01514
2021-09-09,0.41067100001418544,43.98,2.1833181,569.2007
2021-09-10,-1.2729820548968096,41.2,2.2210338,553.1024
2021-09-11,0.5637303686424577,41.2,2.313228,535.59814
2021-09-13,-0.3458795934912748,41.2,2.3111324,498.46286
2021-09-14,-0.048507105870631444,41.2,2.2650356,482.23886
2021-09-15,-0.048507105870631444,41.2,2.1833181,460.71786
2021-09-20,-0.13969141058534684,41.2,2.2629402,432.47513
2021-09-21,-0.169851470188541,41.2,2.254559,447.1926
2021-09-22,-0.11130069300017904,41.2,2.340467,459.995
2021-09-23,-0.3385143306399895,41.2,2.2755122,475.52756
2021-09-24,-0.1025280595041393,41.2,2.254559,488.81604
2021-09-25,-0.3569626273810428,41.2,2.22732,501.68338
2021-09-26,-0.7831920752863384,41.2,2.1330307,507.19196
2021-09-27,-0.4566654222126909,41.2,2.1120775,511.21915
2021-10-04,-0.1065390939761375,39.97,1.8543538,488.28174
2021-10-05,-0.017224899143685274,39.97,1.8438772,488.23145
2021-10-06,-0.27580485089944295,39.96,1.8145428,492.72382
2021-10-07,-0.2499010119604634,39.96,1.8438772,498.4461
2021-10-08,-0.048507105870631444,39.96,1.7873037,507.72208
2021-10-18,-0.20822122965665468,43.65,2.0450275,650.962
2021-10-19,-0.20616482462936683,43.64,2.101601,666.32904
2021-10-20,-0.2251140696724841,43.64,2.1036963,681.9161
2021-10-21,-0.580887518490709,43.64,2.1162682,690.73315
2021-10-22,-0.24442309771482,43.64,2.1518886,698.87555
2021-10-23,-0.5304812879341271,43.64,2.1581745,696.3088
2021-10-24,-0.5308760251839744,43.64,2.1791277,690.2408
2021-10-25,-0.6247306112947153,43.63,2.2252245,684.4263
2021-10-27,-1.2729820548968096,43.63,2.3006558,646.15533
2021-11-01,-0.2178493860551029,43.62,2.5562844,594.2502
2021-11-02,-0.2549592775087662,43.62,2.614953,592.25964
2021-11-03,-0.18618730348840745,43.62,2.700861,587.321
2021-11-04,-0.2788538784597145,43.62,2.673622,578.7197
2021-11-05,-0.5050909851685285,43.62,2.6882892,563.9289
2021-11-06,-0.7287709664407305,43.62,2.6254296,547.7363
2021-11-07,-0.8065154076487419,43.62,2.5856187,526.9235
2021-11-08,-0.6471393031723186,43.61,2.5960953,514.073
2021-11-09,-0.354625843127176,43.61,2.5227592,505.214
2021-11-16,-0.26601252444764995,43.6,2.2524636,579.33997
2021-11-17,-0.5211114721614372,43.6,2.2734168,593.63416
2021-11-18,-0.4566654222126909,43.6,2.2922747,602.401
2021-11-19,-0.2934020956758671,43.6,2.2063668,608.58844
2021-11-20,-0.6607445803837206,43.59,2.1497931,615.0064
2021-11-21,-0.4566654222126909,43.59,2.1435072,618.86804
2021-11-22,-0.47441143596669344,43.59,2.1246495,624.0016
2021-11-23,-0.5895541763705707,43.59,2.0974104,627.6013
2021-11-29,-0.16426629222814831,43.58,1.9297851,626.52014
2021-11-30,-0.32605476098323183,43.58,1.975882,631.66626
2021-12-01,-0.43929698321941174,43.58,2.0031211,643.3078
2021-12-02,-0.36263942263650967,43.57,1.9465476,659.0185
2021-12-03,-0.4449198591524877,43.57,1.9779774,675.8816
2021-12-04,0.25761163138591314,43.57,1.9402617,690.32666
2021-12-05,-1.4479070476148352,43.57,1.9716915,703.6047
2021-12-06,-0.35462584312717604,43.57,2.0513134,715.0891
2021-12-14,-0.11567239843324881,43.55,1.9004507,808.8293
2021-12-15,-0.3685102782943195,40.76,1.835496,866.3981
2021-12-16,-0.7015604120179265,40.76,1.875307,963.8931
2021-12-27,-0.1452687756931024,44.07,1.7998756,1892.5221
2021-12-28,-0.47073984691414117,44.07,1.801971,1949.4182
2021-12-29,-0.37073735561436255,44.06,1.7998756,2077.3267
2021-12-30,-0.2780961588130399,44.06,1.9067366,2207.605
2021-12-31,-1.028087065091574,44.06,1.8983554,2440.6836
2022-01-01,-0.8648237385547505,42.1,1.9842633,2599.808
2022-01-02,-1.0280870650915739,42.1,2.0638852,2707.2957
2022-01-03,-0.2418452557168701,42.1,2.2000809,2807.6865
2022-01-04,-0.04850710587063145,40.24,2.313228,2943.423
2022-01-05,-0.048507105870631444,40.24,2.407517,3016.5286
2022-01-10,-0.18477312684376412,40.21,2.9313457,2714.841
2022-01-11,-0.2404518276098702,40.21,3.0780177,2536.1567
2022-01-12,-0.5006209332033742,40.2,3.2163086,2333.0327
2022-01-13,-0.39505661974596495,40.2,3.2749774,1996.94
2022-01-24,-0.024614911743291373,38.16,3.3839338,1537.9927
2022-01-25,-0.15234950437461828,38.15,3.3043118,1546.9354
2022-01-26,-1.1616661504398844,38.15,3.2980258,1538.2399
2022-01-27,-0.30719899650996485,36.83,3.2142131,1526.3909
2022-02-07,-0.10480480467643274,36.79,2.7553391,1188.7413
2022-02-08,0.05590548668198843,36.79,2.6882892,1131.8535
2022-02-09,-0.20785658553842176,36.79,2.547903,1071.9946
2022-02-10,-0.7287709664407305,36.79,2.4452326,1021.1036
2022-02-11,-0.6607445803837205,36.01,2.3530388,970.6505
2022-02-13,-0.048507105870631444,36.01,2.1728418,880.43463
2022-02-14,-0.048507105870631444,36.0,2.114173,849.47424
2022-02-21,-0.14694236364861898,29.06,1.9381664,656.20654
2022-02-22,0.028022578443504708,29.06,1.9381664,647.75195
2022-02-23,-0.8648237385547504,29.05,1.8375913,627.6097
2022-02-24,-1.2729820548968098,29.05,1.8103522,599.7127
2022-02-25,-0.6607445803837205,29.05,1.7810178,568.0818
2022-02-26,-0.6136493900365599,29.05,1.7873037,538.5693
2022-02-27,0.7678095268134874,29.05,1.7705412,527.2462
2022-03-07,-0.17114040880800285,23.15,1.6636801,609.5502
2022-03-08,-0.18178329079865085,23.15,1.6133926,646.56604
2022-03-09,-0.23851183934021083,23.15,1.6511083,696.5833
2022-03-10,-0.4787280339068562,23.15,1.6783473,749.6304
2022-03-11,-0.5263509884174327,23.15,1.5945348,806.9414
2022-03-12,-0.354625843127176,23.15,1.6133926,862.989
2022-03-14,-0.048507105870631444,23.15,1.676252,965.5358
2022-03-21,-0.12563938612424896,20.37,2.0806477,1229.0846
2022-03-22,-0.09167769702219541,20.37,2.2126527,1240.2212
2022-03-23,-0.16420552625105772,20.37,2.2587495,1260.0261
2022-03-24,-0.10823759118898159,20.37,2.3530388,1271.3135
2022-03-25,-0.37211834239897856,20.37,2.3781826,1276.4136
2022-03-26,-0.5382970854811028,20.37,2.441042,1276.5225
2022-03-27,1.175967843155547,20.37,2.4640903,1270.5404
2022-03-28,-0.048507105870631444,20.37,2.4578044,1258.0502
2022-03-29,-2.497457003922988,20.37,2.426375,1231.402
